[-1.68796203 -0.09342227]
[-1.84577747 -1.35744409]
[-1.40086041  0.10346239]
[-1.45509162  0.50964455]
[-1.45263217  0.12683153]
[-1.80589668 -0.35664857]
[-0.40687271  1.47821452]
[-1.80503468 -0.62800561]
[-0.89634477 -0.44923788]
[-0.33565103  0.66131179]
[-1.5516062   0.77494862]
[-1.39238937 -0.7626765 ]
[-1.15005299 -0.54059086]
[-1.28818987 -0.25853962]
[-0.56374113  0.4382913 ]
[-0.89667057  0.14665907]
[-1.54925083 -0.81040308]
[-1.60349759 -0.23545899]
[-1.75529955 -0.03678032]
[-1.43793656 -0.08063052]
[-1.71683242  0.52919427]
[-1.30672537  0.78203166]
[-1.05841413 -1.05614607]
[-1.69958743 -0.99074318]
[-1.79900938  0.830424  ]
[-0.96482845  0.33629276]
[-1.6047671   0.84824906]
[-1.44230847 -1.2391241 ]
[-1.39418192 -0.57342768]
[-1.08982344 -0.48047331]
[-1.52000097 -1.10966251]
[-1.47672942 -0.69592817]
[-1.36313282  1.4084862 ]
[-1.37744469  0.12662405]
[-0.90545583 -1.2232533 ]
[-1.62656132 -1.88743421]
[-1.02638592  2.26365164]
[-1.11421705  1.07102788]
[-1.43237122  0.38490844]
[-1.73238544 -0.83062076]
[-1.64766903 -1.35238482]
[-1.16404548  0.97770253]
[-1.00115052  0.28954686]
[-1.43678344  0.54941005]
[-1.60015812 -0.56709758]
[-1.53869267 -0.5965519 ]
[-1.88874191 -0.7967339 ]
[-1.115441    0.49591868]
[-1.54094789  0.80279243]
[-1.43539903  0.45365231]
[-1.3826193   1.68233223]
[-1.82283952 -0.5120235 ]
[-1.39391793 -1.43431869]
[ 1.17725424 -0.22977268]
[0.35464881 3.03301181]
[ 1.99103367 -1.33936782]
[ 2.02382108 -0.80668606]
[ 1.79487694 -0.41702835]
[0.54362887 0.56247148]
[ 0.52613895 -0.42832139]
[ 1.77750449 -1.17119009]
[ 1.69033718 -0.5276851 ]
[ 1.44156314 -0.29577422]
[ 0.72613509 -0.99415861]
[ 1.83534916 -0.9084769 ]
[1.64990508 2.2631008 ]
[ 1.72442213 -0.99112537]
[1.49512352 1.2081733 ]
[ 1.91056042 -0.73906558]
[ 1.06489403 -0.42227268]
[ 1.47724107 -0.31793055]
[0.66588021 0.79103369]
[0.90158706 0.3528345 ]
[ 1.89301174 -1.08013515]
[1.55597941 0.08301551]
[ 0.20352158 -0.44073993]
[ 0.55565007 -0.55358293]
[1.49360398 2.07275663]
[1.94606615 0.37502467]
[1.65805943 1.60910354]
[1.39351987 1.18842196]
[ 1.40426805 -1.17856382]
[2.06289328 0.38706809]
[ 0.90889431 -0.57579623]
[ 1.24891735 -0.29998407]
[1.69146227 2.52765896]
[1.10961943 2.89836221]
[1.16874846 1.08624713]
[ 0.81346821 -0.79127946]
[ 1.70750142 -0.43614851]
[ 1.23362196 -1.03304672]
[ 1.60829451 -0.02952229]
[1.86496985 1.34463185]
[0.55754396 0.71396763]
[1.90819612 0.25721625]
[ 1.59956124 -0.52580044]
[1.72422086 0.25809421]
[ 1.13926746 -0.88145598]
[1.49541072 0.66555218]
[ 0.98201348 -0.79633692]
[1.88711984 1.72717889]
[1.88701725 0.88211514]
[ 1.77752401 -1.88249822]
[ 0.68371658 -1.06211708]
[ 1.18652561 -0.87508561]
